,충전소명,충전소ID,충전기ID,충전기타입,주소,상세위치,이용가능시간,위도,경도,기관 아이디,기관명,운영기관명,운영기관연락처,충전기상태,상태갱신일시,마지막 충전시작일시,마지막 충전종료일시,충전중 시작일시,파워타입,충전용량,충전방식,지역코드,지역구분 상세 코드,충전소 구분 코드,충전소 구분 상세코드,주차료무료,충전소 안내,이용자 제한,이용제한 사유,삭제 여부,삭제 사유
0,용인시청,ME174147,01,06,경기도 용인시 처인구 삼가동 556,null,24시간 이용가능,37.2406659,127.1773752,ME,환경부,환경부,1661-9408,2,20221011145735,20221011132408,20221011140728,,,50,단독,41,41460,A0,A001,N,,N,,N,
1,포곡읍사무소,ME174148,01,06,경기도 용인시 처인구 포곡읍 포곡로 258,null,24시간 이용가능,37.2781004,127.2312587,ME,환경부,환경부,1661-9408,2,20221011102151,20221011093830,20221011102149,,,50,단독,41,41460,A0,A002,N,,N,,N,
2,죽전휴게소(서울방향),ME178002,01,06,경기도 용인시 수지구 경부고속도로 400 (죽전동),null,24시간 이용가능,37.3320728,127.1048475,ME,환경부,환경부,1661-9408,2,20221010102209,20221010091937,20221010093538,,,50,단독,41,41460,C0,C001,Y,,N,,N,
3,죽전휴게소(서울방향),ME178002,02,06,경기도 용인시 수지구 경부고속도로 400 (죽전동),null,24시간 이용가능,37.3320728,127.1048475,ME,환경부,환경부,1661-9408,3,20221011153810,20221011144135,20221011152439,20221011153810,,50,단독,41,41460,C0,C001,Y,,N,,N,
4,기흥휴게소(부산방향),ME178003,01,06,경기도 용인시 기흥구 공세로 173 (공세동),null,24시간 이용가능,37.2356557,127.105021,ME,환경부,환경부,1661-9408,9,20220919154810,20220831082200,20220831084955,,,50,단독,41,41460,C0,C001,Y,,N,,N,
5,기흥휴게소(부산방향),ME178003,02,06,경기도 용인시 기흥구 공세로 173 (공세동),null,24시간 이용가능,37.2356557,127.105021,ME,환경부,환경부,1661-9408,9,20220919154810,20220831074640,20220831081259,,,50,단독,41,41460,C0,C001,Y,,N,,N,
6,용인휴게소(강릉방향),ME178120,01,06,경기도 용인시 처인구 주북로94번길 30-1 (고림동),null,24시간 이용가능,37.2458742,127.2429327,ME,환경부,환경부,1661-9408,2,20221011154114,20221011152700,20221011154113,,,50,단독,41,41460,C0,C001,Y,,N,,N,
7,용인휴게소(강릉방향),ME178120,02,06,경기도 용인시 처인구 주북로94번길 30-1 (고림동),null,24시간 이용가능,37.2458742,127.2429327,ME,환경부,환경부,1661-9408,3,20221011153010,20221011144648,20221011150918,20221011153009,,50,단독,41,41460,C0,C001,Y,,N,,N,
8,용인휴게소(서창방향),ME178121,01,06,경기도 용인시 처인구 주북로 66-14 (고림동),null,24시간 이용가능,37.2478126,127.2389965,ME,환경부,환경부,1661-9408,9,20221008153810,20221008140104,20221008143155,,,50,단독,41,41460,C0,C001,Y,,N,,N,
9,용인휴게소(서창방향),ME178121,02,06,경기도 용인시 처인구 주북로 66-14 (고림동),null,24시간 이용가능,37.2478126,127.2389965,ME,환경부,환경부,1661-9408,3,20221011153843,20221011150913,20221011153314,20221011153842,,50,단독,41,41460,C0,C001,Y,,N,,N,
