지형지물,관리번호,관리기관,법정동,지번,신호등유무,보도턱낮춤유무,장애인시설유무,X,Y
횡단보도,82000001,용인시,공세동,718 도,N,Y,Y,209956.397,416004.523
횡단보도,82000002,용인시,공세동,718 도,Y,Y,Y,209874.837,415812.691
횡단보도,82000003,용인시,공세동,718 도,Y,Y,Y,209849.428,415656.976
횡단보도,82000004,용인시,공세동,723 도,N,Y,Y,210162.237,416123.213
횡단보도,83000001,용인시,공세동,717 도,Y,Y,Y,210515.482,415962.84
횡단보도,83000002,용인시,공세동,717 도,Y,Y,Y,210497.218,415936.609
횡단보도,83000003,용인시,공세동,728 도,N,Y,Y,210493.875,415951.781
횡단보도,83000004,용인시,공세동,717 도,N,N,N,210289.149,415724.458
횡단보도,83000005,용인시,공세동,717 도,N,N,N,210256.633,415710.226
횡단보도,84000001,용인시,공세동,729 도,Y,Y,Y,210744.824,416206.657
횡단보도,84000002,용인시,공세동,717 도,Y,Y,Y,210764.396,416203.885
횡단보도,84000003,용인시,공세동,717 도,Y,Y,Y,210741.616,416184.612
횡단보도,85000001,용인시,공세동,694 대,Y,Y,Y,209618.441,415541.064
횡단보도,85000003,용인시,공세동,717 도,N,Y,Y,209544.985,415498.101
횡단보도,86000001,용인시,공세동,724 도,Y,Y,Y,209851.53,415644.59
횡단보도,86000002,용인시,공세동,718 도,Y,Y,Y,209836.917,415635.003
횡단보도,86000003,용인시,공세동,435대,Y,Y,Y,210055.203,415614.84
횡단보도,86000004,용인시,공세동,717 도,N,Y,Y,210070.825,415610.617
횡단보도,86000005,용인시,공세동,717 도,Y,Y,Y,210063.801,415598.772
횡단보도,86000006,용인시,공세동,산 52-3도,Y,Y,Y,210007.262,415587.355
횡단보도,86000007,용인시,공세동,718 도,Y,Y,Y,209820.608,415586.141
횡단보도,86000008,용인시,공세동,727 도,Y,Y,Y,210021.098,415572.421
횡단보도,86000010,용인시,공세동,717 도,Y,Y,Y,209837.334,415558.055
횡단보도,86000012,용인시,공세동,727 도,N,Y,N,210030.45,415538.005
횡단보도,86000013,용인시,공세동,726 도,N,Y,N,210041.407,415536.216
횡단보도,86000014,용인시,공세동,726 도,N,Y,N,210021.742,415529.774
횡단보도,91500001,용인시,왕산리,681-15도,N,N,Y,221816.122,428380.386
횡단보도,91708501,용인시,동천동,87-12임,N,Y,Y,207870.02,427659.566
횡단보도,91708502,용인시,동천동,86-8전,N,Y,Y,207954.265,427583.945
횡단보도,91709501,용인시,동천동,114-1전,N,Y,Y,208067.062,427515.338
횡단보도,91709502,용인시,동천동,787도,N,Y,Y,208188.53,427428.172
횡단보도,91709503,용인시,동천동,144-3임,N,Y,Y,208299.452,427312.483
횡단보도,91719501,용인시,동천동,777도,Y,Y,Y,208382.78,427246.416
횡단보도,91719502,용인시,동천동,144-2임,N,N,Y,208299.669,427300.607
횡단보도,91719503,용인시,동천동,777도,N,Y,Y,208387.1,427232.772
횡단보도,91719504,용인시,동천동,777도,N,Y,Y,208417.942,427209.632
횡단보도,91720501,용인시,동천동,776도,N,Y,Y,208550.665,427096.086
