,group,기준일자,행정동명,카운트,평균,편차,최소,25%,50%,75%,최대
0,1,2022-06-01,구갈동,456.0,5.109649122807017,3.233246775577059,3.0,3.0,3.0,6.0,21.0
1,1,2022-06-01,구성동,353.0,5.770538243626063,3.849591772090061,3.0,3.0,4.0,7.0,26.0
2,1,2022-06-01,기흥동,143.0,5.972027972027972,4.090428635454635,3.0,3.0,4.0,8.0,27.0
3,1,2022-06-01,남사읍,150.0,5.66,3.301067551545374,3.0,3.0,4.0,7.0,19.0
4,1,2022-06-01,동백1동,298.0,5.399328859060403,3.750411813873573,3.0,3.0,3.0,7.0,22.0
5,1,2022-06-01,동백2동,255.0,5.474509803921569,3.647663643215663,3.0,3.0,4.0,7.0,26.0
6,1,2022-06-01,동백3동,178.0,6.898876404494382,4.736073712541492,3.0,4.0,5.0,8.0,34.0
7,1,2022-06-01,동부동,96.0,6.59375,4.780614637867131,3.0,3.0,5.0,8.0,24.0
8,1,2022-06-01,동천동,379.0,6.926121372031663,4.598691842522016,4.0,4.0,5.0,9.0,33.0
9,1,2022-06-01,마북동,316.0,6.246835443037975,4.155985102958099,3.0,4.0,4.0,8.0,25.0
10,1,2022-06-01,모현읍,322.0,6.475155279503106,4.260336977237104,3.0,3.0,6.0,9.0,22.0
11,1,2022-06-01,백암면,35.0,6.485714285714286,4.520355455644849,3.0,3.0,5.0,7.0,22.0
12,1,2022-06-01,보라동,329.0,5.9696048632218845,4.3510918340422275,3.0,3.0,4.0,7.0,27.0
13,1,2022-06-01,보정동,320.0,5.89375,4.1145005067520275,3.0,3.0,4.0,8.0,25.0
14,1,2022-06-01,상갈동,144.0,5.944444444444445,4.707942667952124,3.0,3.0,3.0,7.0,33.0
15,1,2022-06-01,상하동,287.0,5.919860627177701,4.304476769623409,3.0,3.0,4.0,7.0,24.0
16,1,2022-06-01,상현1동,397.0,6.647355163727959,4.764300568432734,3.0,4.0,4.0,9.0,27.0
17,1,2022-06-01,상현2동,273.0,6.886446886446887,4.482597007529366,4.0,4.0,4.0,8.0,25.0
18,1,2022-06-01,서농동,153.0,5.973856209150327,3.1787694416863097,3.0,4.0,5.0,7.0,24.0
19,1,2022-06-01,성복동,439.0,7.899772209567198,5.664031749183228,4.0,5.0,5.0,10.0,52.0
20,1,2022-06-01,신갈동,380.0,5.826315789473684,4.157371569834825,3.0,3.0,4.0,7.0,24.0
21,1,2022-06-01,신봉동,351.0,6.5754985754985755,5.198282487720422,3.0,3.0,4.0,8.0,51.0
22,1,2022-06-01,양지면,210.0,6.628571428571429,5.516841796169658,3.0,3.0,4.0,8.0,35.0
23,1,2022-06-01,역삼동,394.0,6.190355329949239,5.411025251785005,3.0,3.0,4.0,8.0,77.0
24,1,2022-06-01,영덕1동,223.0,5.394618834080718,3.480494905396433,3.0,3.0,5.0,6.0,29.0
25,1,2022-06-01,영덕2동,237.0,5.9957805907173,4.681823752190042,3.0,3.0,3.0,7.0,44.0
26,1,2022-06-01,원삼면,73.0,9.273972602739725,6.922708754471689,3.0,5.0,7.0,12.0,32.0
27,1,2022-06-01,유림동,273.0,6.597069597069597,4.384832503876312,3.0,4.0,4.0,8.0,25.0
28,1,2022-06-01,이동읍,183.0,6.054644808743169,4.093316417799008,3.0,3.0,4.0,8.0,22.0
29,1,2022-06-01,죽전1동,444.0,6.574324324324325,4.583449295357049,3.0,4.0,4.0,8.0,28.0
30,1,2022-06-01,죽전2동,198.0,6.540404040404041,3.927759315046927,3.0,4.0,4.0,8.0,20.0
31,1,2022-06-01,중앙동,216.0,6.194444444444445,4.030022986450304,3.0,3.0,4.0,8.0,24.0
32,1,2022-06-01,포곡읍,276.0,6.079710144927536,4.309923592156128,3.0,3.0,4.0,7.0,24.0
33,1,2022-06-01,풍덕천1동,375.0,6.234666666666667,4.266944621071029,3.0,3.0,4.0,8.0,24.0
34,1,2022-06-01,풍덕천2동,363.0,5.914600550964187,3.980044357272422,3.0,3.0,4.0,8.0,33.0
35,1,2022-06-02,구갈동,497.0,5.010060362173038,3.436330357662695,3.0,3.0,3.0,6.0,22.0
36,1,2022-06-02,구성동,394.0,5.728426395939087,3.940376761014318,3.0,3.0,4.0,8.0,30.0
37,1,2022-06-02,기흥동,172.0,5.744186046511628,3.7484844391987644,3.0,3.0,4.0,7.0,20.0
38,1,2022-06-02,남사읍,183.0,5.584699453551913,2.8462788107485504,3.0,3.0,4.0,7.0,16.0
39,1,2022-06-02,동백1동,321.0,5.386292834890965,4.8354484307538375,3.0,3.0,3.0,7.0,55.0
40,1,2022-06-02,동백2동,283.0,5.374558303886926,3.5401931368297817,3.0,3.0,4.0,7.0,24.0
41,1,2022-06-02,동백3동,174.0,6.896551724137931,4.634713159985614,3.0,4.0,4.0,8.0,28.0
42,1,2022-06-02,동부동,120.0,5.641666666666667,3.4660316429802043,3.0,3.0,4.0,7.0,22.0
43,1,2022-06-02,동천동,452.0,7.376106194690266,4.766862227086453,4.0,4.0,5.0,9.0,30.0
44,1,2022-06-02,마북동,305.0,6.091803278688524,4.015360928014574,3.0,4.0,4.0,8.0,24.0
45,1,2022-06-02,모현읍,330.0,6.224242424242425,4.082509978212775,3.0,3.0,4.0,9.0,22.0
46,1,2022-06-02,백암면,31.0,6.967741935483871,3.9789770123131056,3.0,5.0,5.0,8.5,15.0
47,1,2022-06-02,보라동,363.0,6.140495867768595,4.071812114658819,3.0,3.0,4.0,8.0,22.0
48,1,2022-06-02,보정동,353.0,5.770538243626063,3.867262655691637,3.0,4.0,4.0,8.0,26.0
49,1,2022-06-02,상갈동,154.0,5.85064935064935,4.865219322159279,3.0,3.0,3.0,7.0,33.0
50,1,2022-06-02,상하동,309.0,5.485436893203883,3.8793427554611313,3.0,3.0,3.0,7.0,25.0
51,1,2022-06-02,상현1동,410.0,6.470731707317073,4.503774233726746,3.0,4.0,4.0,8.75,41.0
52,1,2022-06-02,상현2동,295.0,7.159322033898305,4.56380013230664,4.0,4.0,4.0,8.0,27.0
53,1,2022-06-02,서농동,179.0,6.106145251396648,3.297073302310092,3.0,3.0,5.0,8.0,21.0
54,1,2022-06-02,성복동,452.0,7.988938053097345,5.16832942303206,4.0,5.0,5.0,10.0,34.0
55,1,2022-06-02,신갈동,371.0,5.339622641509434,3.524895071150503,3.0,3.0,4.0,7.0,28.0
56,1,2022-06-02,신봉동,374.0,6.350267379679145,5.101415188517346,3.0,3.0,4.0,7.0,51.0
57,1,2022-06-02,양지면,232.0,6.547413793103448,4.846330538614334,3.0,3.0,4.0,8.0,29.0
58,1,2022-06-02,역삼동,476.0,5.390756302521009,3.9404299331901904,3.0,3.0,4.0,7.0,38.0
59,1,2022-06-02,영덕1동,258.0,5.775193798449612,3.5003953308195985,3.0,3.0,5.0,8.0,29.0
60,1,2022-06-02,영덕2동,239.0,5.485355648535565,3.768343786597909,3.0,3.0,3.0,7.0,22.0
61,1,2022-06-02,원삼면,77.0,8.493506493506494,5.963978221533925,3.0,4.0,6.0,10.0,27.0
62,1,2022-06-02,유림동,342.0,6.269005847953216,3.996791771322195,3.0,4.0,4.0,8.0,24.0
63,1,2022-06-02,이동읍,191.0,5.848167539267016,3.591361608549299,3.0,3.0,4.0,8.0,18.0
64,1,2022-06-02,죽전1동,495.0,7.038383838383838,4.745820813779152,3.0,4.0,4.0,9.0,34.0
65,1,2022-06-02,죽전2동,236.0,6.059322033898305,3.9416863717576107,3.0,4.0,4.0,8.0,25.0
66,1,2022-06-02,중앙동,215.0,6.306976744186047,4.031267706551693,3.0,3.0,5.0,8.0,29.0
67,1,2022-06-02,포곡읍,303.0,5.864686468646864,4.049957953021258,3.0,3.0,4.0,7.0,24.0
