자치구별 영세장영업 운영 점포수(2019),전체,외식업,서비스업,소매업
서울시,585228,89937,291257,204034
종로구,20844,4325,6338,10181
중구,30475,3799,6110,20566
용산구,18222,3138,8027,7057
성동구,18195,2798,8561,6836
광진구,19846,3440,10041,6365
동대문구,21691,3463,8836,9392
중랑구,16600,3092,7490,6018
성북구,18550,3188,9200,6162
강북구,13490,2736,5925,4829
도봉구,12770,2099,6265,4406
노원구,20638,3067,11178,6393
은평구,20413,3121,10815,6477
서대문구,15290,2876,7927,4487
마포구,28119,5749,14561,7809
양천구,21160,2619,12705,5836
강서구,31351,4149,17911,9291
구로구,22023,3387,9440,9196
금천구,14522,2411,5728,6383
영등포구,25907,4689,12802,8416
동작구,18731,2879,10277,5575
관악구,21460,3790,11234,6436
서초구,36151,4190,21246,10715
강남구,51320,6612,30639,14069
송파구,45287,4930,26015,14342
강동구,22173,3390,11986,6797
