磊摹备,搁利 备己厚(%),2018,2019
辑匡矫,备己厚(%),100.0,100.0
辆肺备,备己厚(%),3.95,4.0
吝备,备己厚(%),1.65,1.6
侩魂备,备己厚(%),3.61,3.6
己悼备,备己厚(%),2.79,2.8
堡柳备,备己厚(%),2.82,2.8
悼措巩备,备己厚(%),2.35,2.3
吝尔备,备己厚(%),3.06,3.1
己合备,备己厚(%),4.06,4.1
碍合备,备己厚(%),3.9,3.9
档豪备,备己厚(%),3.41,3.4
畴盔备,备己厚(%),5.86,5.9
篮乞备,备己厚(%),4.91,4.9
辑措巩备,备己厚(%),2.91,2.9
付器备,备己厚(%),3.94,3.9
剧玫备,备己厚(%),2.88,2.9
碍辑备,备己厚(%),6.85,6.8
备肺备,备己厚(%),3.32,3.3
陛玫备,备己厚(%),2.15,2.2
康殿器备,备己厚(%),4.06,4.0
悼累备,备己厚(%),2.7,2.7
包厩备,备己厚(%),4.89,4.9
辑檬备,备己厚(%),7.76,7.8
碍巢备,备己厚(%),6.53,6.5
价颇备,备己厚(%),5.6,5.6
碍悼备,备己厚(%),4.06,4.1
