업소명,소재지도로명,소재지지번,영업장면적(㎡),행정동명,영업장객실면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡)
베이커스 퍼센트(Bakers percent),"서울특별시 종로구 필운대로2길 3, 1층 (누하동)",누하동,,청운효자동,,,
카페인중독 양재점,"서울특별시 서초구 동산로6길 20, 1층 (양재동)",양재동,,양재제2동,,29.0,
카페인중독 양재점,"서울특별시 서초구 동산로6길 20, 1층 (양재동)",양재동,,양재제2동,,29.0,
오달지당,"서울특별시 성북구 보문로31길 36, 1층 (삼선동5가)",삼선동5가,,삼선동,,30.3,
빽다방(굽은다리역점),"서울특별시 강동구 양재대로 1576, 삼익빌딩 1층 (명일동)",명일동,,명일제1동,,73.0,
카페 일마지오 서울검찰청사점,"서울특별시 서초구 반포대로 158, 서울검찰청사 2층 (서초동)",서초동,,서초제2동,,11.77,
본우리집밥 카페일마지오 서울검찰청사점,"서울특별시 서초구 반포대로 158, 서울검찰청사 2층 (서초동)",서초동,,서초제2동,,11.77,
카페 일마지오 서울검찰청사점,"서울특별시 서초구 반포대로 158, 서울검찰청사 2층 (서초동)",서초동,,서초제2동,,11.77,
본우리집밥 카페일마지오 서울검찰청사점,"서울특별시 서초구 반포대로 158, 서울검찰청사 2층 (서초동)",서초동,,서초제2동,,11.77,
다문화박물관,"서울특별시 은평구 불광로 135, 4층 (불광동)",불광동,,불광제1동,,,10.0
캔카페 양천향교점,"서울특별시 강서구 양천로49길 23, 2층 (가양동)",가양동,,가양제1동,,,
카페로뎀,"서울특별시 강동구 구천면로 420, 아름다운교회 1층 (명일동)",명일동,,명일제1동,,81.41,
메가엠지씨커피 시흥사거리점,"서울특별시 금천구 시흥대로 227, 1층 (시흥동)",시흥동,70.4,시흥제1동,0.0,0.0,0.0
심(sym);심,"서울특별시 광진구 천호대로116길 94, 101호 (능동)",능동,,능동,,,
메가엠지씨커피 성수역점,"서울특별시 성동구 아차산로 113, 1층 104호 (성수동2가)",성수동2가,,성수2가제1동,,,
famous(페이머스),"서울특별시 강동구 올림픽로62길 5-27, 1층 (성내동)",성내동,,성내제2동,,42.3,
주식회사 하프 커피 로스터스,"서울특별시 종로구 계동길 82, 1층 (계동)",계동,,가회동,,,
카페아이갓에브리씽용산구장애인커뮤니티센터점,"서울특별시 용산구 서빙고로 245, 용산구 시설관리공단 1층 (서빙고동)",서빙고동,,서빙고동,,10.96,
매너커피,"서울특별시 성동구 왕십리로4길 24, 1층 (성수동1가)",성수동1가,17.0,성수1가제1동,0.0,0.0,0.0
커피상회,"서울특별시 성동구 왕십리로4길 24, 1층 (성수동1가)",성수동1가,17.0,성수1가제1동,0.0,0.0,0.0
카페 발르오,"서울특별시 강남구 테헤란로20길 12, 양지빌딩 1층 (역삼동)",역삼동,,역삼1동,,,
카페카운티(cafe county),"서울특별시 영등포구 영등포로 143, 에이블허브 1층 102호 (당산동1가)",당산동1가,,당산제1동,,,
심포니오브,"서울특별시 서초구 사평대로18길 38, 지하1층 (반포동)",반포동,,반포본동,,93.44,
포에버(4ever),"서울특별시 광진구 자양로43길 87, 1층 (중곡동)",중곡동,,중곡제4동,,,
50플러스남부카페,"서울특별시 구로구 오류로 36-25, 50플러스 남부캠퍼스 1층 (천왕동)",천왕동,,오류제2동,,23.65,
LG전자양재R&D캠퍼스 카페그랑점,"서울특별시 서초구 바우뫼로 38, 지하1층 (우면동)",우면동,,양재제1동,,56.46,
LG전자양재R&D캠퍼스 카페그랑점,"서울특별시 서초구 바우뫼로 38, 지하1층 (우면동)",우면동,,양재제1동,,56.46,
LG전자양재R&D캠퍼스 카페그랑점,"서울특별시 서초구 바우뫼로 38, 지하1층 (우면동)",우면동,,양재제1동,,56.46,
제트커피,"서울특별시 강남구 논현로150길 39, 1층 (논현동)",논현동,,논현1동,,,
달곰발,"서울특별시 양천구 신정중앙로2길 14, MORO 1층 (신정동)",신정동,,신정4동,,65.3,
마치마치신세계영등포점,"서울특별시 영등포구 영중로 9, 신세계백화점 지하1층 (영등포동4가)",영등포동4가,,영등포동,,,
마치마치신세계타임스퀘어점,"서울특별시 영등포구 영중로 9, 신세계백화점 지하1층 (영등포동4가)",영등포동4가,,영등포동,,,
커피공방 날,"서울특별시 강동구 천호옛길 31, 103호 (성내동)",성내동,,성내제1동,,6.6,
더블에이치(Double H),"서울특별시 동대문구 왕산로 106, 1층 (용두동)",용두동,,용신동,,76.2,
카페 코네(cafe kone),"서울특별시 서초구 잠원로3길 40, 2층 202-B호 (잠원동)",잠원동,,잠원동,,38.57,
비어드파파 가산디지털점,"서울특별시 금천구 가산디지털1로 145, 에이스하이엔드타워3차 108호 (가산동)",가산동,,가산동,,,
비어드파파 가산디지털점,"서울특별시 금천구 가산디지털1로 145, 에이스하이엔드타워3차 108호 (가산동)",가산동,,가산동,,,
모먼트,"서울특별시 중랑구 면목로 485, 1층 (상봉동)",상봉동,,상봉제2동,,33.0,
뚤리(tuuli),"서울특별시 서대문구 홍제천로 198, 1층 (연희동)",연희동,,연희동,,8.76,
디저트레오,"서울특별시 강서구 공항대로49길 5-13, 1층 (등촌동)",등촌동,,등촌제1동,,,
