녹지 종류(㎡),소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,중부공원녹지사업소,안전총괄실
합계,15696410.0,218331.0,231217.0,369568.0,303032.0,294628.0,417613.0,537131.0,395851.0,131893.0,250564.0,626436.0,407757.0,249839.0,956153.0,511603.0,1149247.0,605107.0,344168.0,774430.0,283827.0,244825.0,1427242.0,1566004.0,991527.0,592664.0,31354.0,1784400.0
시설녹지,3766094.0,56385.0,47479.0,77763.0,39528.0,20903.0,66323.0,128635.0,157766.0,21317.0,28104.0,189743.0,110112.0,134578.0,301427.0,165469.0,327016.0,84805.0,42246.0,35219.0,37157.0,7316.0,867756.0,405911.0,284171.0,128965.0,-,-
일반녹지,5156593.0,101678.0,45473.0,72736.0,85197.0,123395.0,25328.0,92652.0,82382.0,23863.0,84449.0,67272.0,75725.0,55980.0,372351.0,79445.0,689023.0,167013.0,39521.0,420444.0,64828.0,45790.0,198703.0,178735.0,244366.0,130455.0,24742.0,1565047.0
분리대,512672.0,2510.0,7973.0,20375.0,950.0,-,10666.0,-,1000.0,-,8511.0,800.0,3962.0,2468.0,3590.0,15638.0,16493.0,28872.0,7924.0,13941.0,20366.0,33418.0,16184.0,32058.0,65523.0,24280.0,-,175170.0
수벽,140432.0,6169.0,74.0,7277.0,2849.0,2063.0,775.0,4405.0,12955.0,2110.0,1010.0,12000.0,-,500.0,3172.0,30292.0,4454.0,3563.0,100.0,4658.0,8307.0,300.0,9624.0,6255.0,11440.0,6080.0,-,-
수림대,1011364.0,-,-,56915.0,67015.0,21760.0,20285.0,54426.0,19983.0,-,-,114213.0,47500.0,3000.0,134037.0,21286.0,9940.0,12019.0,18116.0,30174.0,12180.0,8230.0,59910.0,61400.0,174315.0,64660.0,-,-
하천변조경,2150346.0,-,-,34400.0,980.0,25219.0,196798.0,157340.0,17003.0,4090.0,42300.0,58053.0,33544.0,13848.0,12850.0,13152.0,-,153198.0,167009.0,64765.0,65800.0,26000.0,188340.0,732577.0,69365.0,73715.0,-,-
간이휴게소,584870.0,12882.0,19834.0,18209.0,35387.0,22324.0,21126.0,37341.0,33253.0,12532.0,23877.0,10328.0,14850.0,4281.0,34642.0,13515.0,462.0,22208.0,17050.0,27288.0,5475.0,59959.0,17956.0,13876.0,34896.0,27136.0,-,44183.0
지하철환기구주변,16249.0,422.0,566.0,224.0,1400.0,365.0,492.0,20.0,2080.0,-,-,379.0,-,-,1127.0,463.0,1350.0,-,-,1500.0,-,-,3827.0,437.0,1497.0,100.0,-,-
건물주변,487807.0,14248.0,74705.0,29984.0,10922.0,11168.0,18095.0,12252.0,16074.0,33249.0,7420.0,27345.0,20380.0,5626.0,22067.0,13251.0,11367.0,13495.0,17785.0,11632.0,5242.0,9677.0,8173.0,17154.0,27385.0,42499.0,6612.0,-
아파트 및 학교,1495807.0,14794.0,31211.0,45504.0,42313.0,46911.0,54793.0,49820.0,46905.0,34732.0,53159.0,138853.0,94884.0,27287.0,46219.0,93196.0,69957.0,76398.0,25559.0,85478.0,42925.0,52167.0,50849.0,113976.0,73741.0,84176.0,-,-
침수공간조성,97309.0,5442.0,3000.0,724.0,1724.0,16715.0,2717.0,240.0,5600.0,-,1734.0,7350.0,6800.0,2270.0,280.0,7965.0,-,15498.0,114.0,4964.0,680.0,1154.0,1103.0,1975.0,4378.0,4882.0,-,-
기타,276867.0,3801.0,902.0,5457.0,14767.0,3805.0,215.0,-,850.0,-,-,100.0,-,-,24391.0,57931.0,19185.0,28038.0,8744.0,74367.0,20867.0,814.0,4817.0,1650.0,450.0,5716.0,-,-
합계,15729630.0,218475.0,221070.0,371545.0,305259.0,295290.0,418239.0,538920.0,378545.0,136689.0,257128.0,648489.0,433718.0,233528.0,884519.0,471784.0,1154619.0,624690.0,364724.0,819253.0,286162.0,244867.0,1428071.0,1589048.0,983733.0,604259.0,27606.0,1789400.0
시설녹지,3642333.0,53857.0,31766.0,74670.0,36872.0,20866.0,67554.0,128913.0,134612.0,21317.0,28663.0,196085.0,132237.0,118251.0,158544.0,166878.0,328752.0,84788.0,43642.0,71127.0,38014.0,6809.0,867325.0,425360.0,276377.0,129054.0,-,-
일반녹지,5202816.0,103854.0,45547.0,78236.0,88485.0,123135.0,25262.0,92652.0,83469.0,24387.0,84449.0,67272.0,76751.0,55914.0,373946.0,73809.0,689994.0,185013.0,42381.0,424258.0,64666.0,46043.0,198703.0,179335.0,244366.0,139847.0,20994.0,1570047.0
분리대,515607.0,2510.0,7973.0,20375.0,950.0,-,10931.0,-,1000.0,-,8511.0,800.0,6372.0,2468.0,3590.0,15638.0,16493.0,28872.0,7924.0,13941.0,20626.0,33418.0,16184.0,32058.0,65523.0,24280.0,-,175170.0
수벽,131649.0,6169.0,74.0,7277.0,2849.0,2063.0,-,4405.0,12955.0,2110.0,1010.0,12000.0,-,500.0,3172.0,22284.0,4454.0,3563.0,100.0,4658.0,8307.0,300.0,9624.0,6255.0,11440.0,6080.0,-,-
