시점,자치구별,면적 (㎢),인구 (명),배출량(톤/일),매립,소각,재활용,기타
2015,소계,605.25,10297138,41710.9,3659.7,2475.7,35575.5,-
2015,종로구,23.91,163822,720.3,52.9,92.3,575.1,-
2015,중구,9.96,134329,1328.1,72.4,167.5,1088.2,-
2015,용산구,21.87,247909,907.3,24.4,80.2,802.7,-
2015,성동구,16.86,305065,3427.8,758.1,74.9,2594.8,-
2015,광진구,17.06,375180,1719.8,35.9,61.9,1622.0,-
2015,동대문구,14.21,373824,1304.5,30.0,96.9,1177.6,-
2015,중랑구,18.50,418620,1252.7,23.8,89.1,1139.8,-
2015,성북구,24.58,469560,1237.4,24.7,92.4,1120.3,-
2015,강북구,23.60,334426,1049.9,12.6,66.7,970.6,-
2015,도봉구,20.71,353241,751.9,10.3,61.2,680.4,-
2015,노원구,35.44,578221,1095.1,85.1,107.2,902.8,-
2015,은평구,29.70,502578,1348.3,92.3,41.5,1214.5,-
2015,서대문구,17.61,323105,1108.4,35.2,90.6,982.6,-
2015,마포구,23.84,398351,2184.7,96.2,119.1,1969.4,-
2015,양천구,17.40,489010,1025.1,93.1,98.0,834.0,-
2015,강서구,41.44,595691,3970.2,1109.0,254.4,2606.8,-
2015,구로구,20.12,454604,1175.7,101.9,122.1,951.7,-
2015,금천구,13.02,256167,889.3,173.7,2.3,713.3,-
2015,영등포구,24.53,417811,1276.6,62.5,133.1,1081.0,-
2015,동작구,16.35,412774,1170.9,48.0,66.9,1056.0,-
2015,관악구,29.57,529031,1319.5,102.8,30.8,1185.9,-
2015,서초구,47.00,451258,2806.9,68.0,117.4,2621.5,-
2015,강남구,39.50,581760,3134.6,336.4,210.6,2587.6,-
2015,송파구,33.88,667480,4142.2,155.0,134.0,3853.2,-
2015,강동구,24.59,463321,1363.7,55.4,64.6,1243.7,-
2016,소계,605.20,10204057,45117.5,3257.0,2740.7,39119.8,-
2016,종로구,23.91,161922,945.6,58.9,144.3,742.4,-
2016,중구,9.96,134409,1511.2,67.4,169.4,1274.4,-
2016,용산구,21.87,245102,914.9,25.4,84.2,805.3,-
2016,성동구,16.86,307161,2254.7,512.2,75.1,1667.4,-
2016,광진구,17.06,372104,1457.4,29.4,64.2,1363.8,-
2016,동대문구,14.22,370312,1564.7,33.8,95.4,1435.5,-
2016,중랑구,18.50,415677,1091.2,21.0,90.1,980.1,-
2016,성북구,24.58,461617,1664.5,19.9,91.7,1552.9,-
2016,강북구,23.60,330704,885.1,9.2,67.7,808.2,-
2016,도봉구,20.67,350272,745.5,7.8,62.4,675.3,-
2016,노원구,35.44,571212,1202.2,99.2,113.9,989.1,-
2016,은평구,29.70,495937,2010.9,66.3,87.8,1856.8,-
2016,서대문구,17.61,325871,1255.5,38.7,92.8,1124.0,-
2016,마포구,23.84,390887,1998.7,87.6,121.7,1789.4,-
2016,양천구,17.41,481845,1312.3,63.5,99.3,1149.5,-
2016,강서구,41.44,602104,3846.3,830.6,256.7,2759.0,-
