행정구역별(2021),총인구 (명),남자 (명),여자 (명)
서울특별시,9472127,4584251,4887876
종로구,148857,71367,77490
중구,126310,60657,65653
용산구,221688,106910,114778
성동구,286469,139181,147288
광진구,347099,166469,180630
동대문구,348201,169409,178792
중랑구,380307,186364,193943
성북구,435509,207428,228081
강북구,292611,141265,151346
도봉구,309200,149413,159787
노원구,503929,242171,261758
은평구,457385,218155,239230
서대문구,314547,146558,167989
마포구,365192,170867,194325
양천구,433373,211970,221403
강서구,559837,268530,291307
구로구,426220,212275,213945
금천구,247398,125468,121930
영등포구,402984,200027,202957
동작구,388094,187311,200783
관악구,495777,247814,247963
서초구,392302,187435,204867
강남구,503019,240842,262177
송파구,634720,305449,329271
강동구,451099,220916,230183
