시도별,산업별,종사자규모별,항목,단위,2016 년,2017 년,2018 년,2019 년,Unnamed: 9
서울특별시,커피 전문점,총계,사업체수[개],개,13187,13662,15056,16255,
서울특별시,커피 전문점,총계,종사자수[명],명,45507,46712,54003,57322,
서울특별시,커피 전문점,총계,남자[명],명,15023,15323,17375,18758,
서울특별시,커피 전문점,총계,여자[명],명,30484,31389,36628,38564,
서울특별시,커피 전문점,총계,매출액[백만원],백만원,2629402,2752770,3369322,3762015,
서울특별시,커피 전문점,총계,영업비용[백만원],백만원,2460513.8,2596477.6,3126170,3297227,
서울특별시,커피 전문점,총계,매출원가[백만원],백만원,0,0,0,0,
서울특별시,커피 전문점,총계,판매비와 관리비[백만원],백만원,0,0,0,0,
서울특별시,커피 전문점,총계,인건비[백만원],백만원,505604.3,392687.8,621514,547237,
서울특별시,커피 전문점,총계,임차료[백만원],백만원,349597,238865.2,322450,332087,
서울특별시,커피 전문점,총계,기타경비[백만원],백만원,1605312.6,1964924.5,2182206,2417901,
서울특별시,커피 전문점,총계,연간급여액[백만원],백만원,433295.2,332364,520467,437630,
서울특별시,커피 전문점,총계,건물연면적[㎡],㎡,,1164347.1,1319325,1464670,
서울특별시,커피 전문점,1~4명,사업체수[개],개,9981,10458,11160,12275,
서울특별시,커피 전문점,1~4명,종사자수[명],명,20117,21440,22150,24337,
서울특별시,커피 전문점,1~4명,남자[명],명,6947,92,7740,8593,
서울특별시,커피 전문점,1~4명,여자[명],명,13170,177,14410,15744,
서울특별시,커피 전문점,1~4명,매출액[백만원],백만원,951996,965253,1047258,1356220,
서울특별시,커피 전문점,1~4명,영업비용[백만원],백만원,868255.2,924994,1064560,1228247,
서울특별시,커피 전문점,1~4명,매출원가[백만원],백만원,0,0,0,0,
서울특별시,커피 전문점,1~4명,판매비와 관리비[백만원],백만원,0,0,0,0,
서울특별시,커피 전문점,1~4명,인건비[백만원],백만원,158996.4,91829,133911,115253,
서울특별시,커피 전문점,1~4명,임차료[백만원],백만원,121011.7,75979.8,100989,109326,
서울특별시,커피 전문점,1~4명,기타경비[백만원],백만원,588247.1,757185.2,829660,1003668,
서울특별시,커피 전문점,1~4명,연간급여액[백만원],백만원,137426.8,79314.7,115468,92862,
서울특별시,커피 전문점,1~4명,건물연면적[㎡],㎡,,660264.5,830150,700308,
서울특별시,커피 전문점,5~9명,사업체수[개],개,2452,2461,2864,2748,
서울특별시,커피 전문점,5~9명,종사자수[명],명,15808,15892,18565,16972,
서울특별시,커피 전문점,5~9명,남자[명],명,4945,200,5619,5306,
서울특별시,커피 전문점,5~9명,여자[명],명,10863,372,12946,11666,
서울특별시,커피 전문점,5~9명,매출액[백만원],백만원,932141,963721,1172696,949175,
서울특별시,커피 전문점,5~9명,영업비용[백만원],백만원,873868.8,910258,1053403,815260,
서울특별시,커피 전문점,5~9명,매출원가[백만원],백만원,0,0,0,0,
서울특별시,커피 전문점,5~9명,판매비와 관리비[백만원],백만원,0,0,0,0,
서울특별시,커피 전문점,5~9명,인건비[백만원],백만원,168579.7,158654.6,219196,90047,
서울특별시,커피 전문점,5~9명,임차료[백만원],백만원,106119,84495.5,91050,41029,
서울특별시,커피 전문점,5~9명,기타경비[백만원],백만원,599170.2,667107.9,743157,684183,
서울특별시,커피 전문점,5~9명,연간급여액[백만원],백만원,148156.9,136478.6,187721,73860,
서울특별시,커피 전문점,5~9명,건물연면적[㎡],㎡,,318347.6,274014,320431,
서울특별시,커피 전문점,10~19명,사업체수[개],개,716,712,978,1171,
서울특별시,커피 전문점,10~19명,종사자수[명],명,8581,8465,11886,14375,
서울특별시,커피 전문점,10~19명,남자[명],명,2711,490,3522,4174,
서울특별시,커피 전문점,10~19명,여자[명],명,5870,942,8364,10201,
