생활폐기물 발생량,종류,소계,처리비율 (%),종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
발생량,소계,9438.7,100.0,324.4,500.3,255.1,259.4,339.4,408.3,392.1,359.2,230.2,314.7,464.2,227.5,301.5,461.6,322.5,434.2,314.7,240.1,389.9,297.9,337.9,562.3,713.2,575.7,412.4
재활용,소계,6501.4,68.9,200.5,315.1,165.5,179.0,250.4,291.6,287.9,248.6,152.7,244.7,351.0,159.8,202.4,331.4,222.5,306.7,176.4,171.5,249.0,210.0,209.7,402.3,470.5,397.6,304.6
재활용,재활용,3335.6,35.3,103.7,187.3,87.7,87.2,146.2,185.8,188.3,141.7,64.1,147.8,188.2,66.6,119.7,188.9,105.3,127.9,64.2,105.7,88.3,103.8,92.9,196.3,198.3,176.6,173.1
재활용,음식물,3165.8,33.5,96.8,127.8,77.8,91.8,104.2,105.8,99.6,106.9,88.6,96.9,162.8,93.2,82.7,142.5,117.2,178.8,112.2,65.8,160.7,106.2,116.8,206.0,272.2,221.0,131.5
소각,소계,2218.4,23.5,91.9,164.5,79.9,56.7,61.4,95.6,88.9,91.9,66.0,61.0,106.2,40.8,88.1,116.4,81.0,104.3,114.3,0.7,113.5,66.8,30.1,113.4,200.3,121.4,63.3
매립,소계,718.9,7.6,32.0,20.7,9.7,23.7,27.6,21.1,15.3,18.7,11.5,9.0,7.0,26.9,11.0,13.8,19.0,23.2,24.0,67.9,27.4,21.1,98.1,46.6,42.4,56.7,44.5
발생량,소계,9608.0,100.0,406.0,499.2,262.1,257.8,326.3,426.6,387.9,358.3,230.0,315.1,455.1,283.4,298.4,456.6,287.9,425.3,318.2,239.6,406.8,280.5,339.7,570.1,707.2,569.7,500.2
재활용,소계,6549.7,68.2,227.2,312.2,166.9,176.6,240.8,311.0,283.6,253.8,154.8,247.0,335.7,148.6,194.8,321.4,187.4,290.8,177.2,170.0,287.7,188.4,212.9,396.1,474.7,398.7,391.4
재활용,재활용,3474.3,36.2,119.3,186.1,89.7,88.8,138.2,205.6,190.4,150.6,70.3,156.3,177.7,57.3,115.0,190.2,75.6,110.9,64.3,105.3,132.7,89.3,97.6,213.7,188.9,191.6,268.9
재활용,음식물,3075.4,32.0,107.9,126.1,77.2,87.8,102.6,105.4,93.2,103.2,84.5,90.7,158.0,91.3,79.8,131.2,111.8,179.9,112.9,64.7,155.0,99.1,115.3,182.4,285.8,207.1,122.5
