자치구별,주민 1인당 생활폐기물(쓰레기) 배출량 (2019),생활폐기물 배출량 (톤/일) (2019),주민수 (명) (2019),주민 1인당 생활폐기물(쓰레기) 배출량 (2020),생활폐기물 배출량 (톤/일) (2020),주민수 (명) (2020)
계,0.98,9847.4,10010983,0.98,9673.4,9911088
종로구,2.10,339.9,161869,1.66,264.2,158996
중구,3.03,413.7,136488,2.66,357.5,134635
용산구,1.24,305.2,245185,1.23,301.2,244645
성동구,0.98,303.1,308979,1.00,301.2,300505
광진구,0.91,333.9,366972,0.95,343.1,360109
동대문구,1.13,411.2,363023,1.23,440.1,357014
중랑구,0.82,330.5,402024,0.84,337.6,399562
성북구,0.82,371.3,454744,0.81,361.6,447056
강북구,0.79,251.2,317695,0.78,243.1,311569
도봉구,1.03,345.1,335631,0.92,300.9,327361
노원구,0.59,317.3,537303,0.75,394.8,527032
은평구,0.76,369.0,484546,0.79,380.4,484043
서대문구,0.74,240.1,323171,0.88,285.3,322952
마포구,1.24,477.5,385925,0.96,366.4,381858
양천구,0.74,340.8,462285,0.86,394.4,457781
강서구,1.00,599.4,598273,0.90,526.8,585901
구로구,0.74,326.5,439371,0.76,329.6,432488
금천구,1.14,286.7,251820,1.11,274.5,247835
영등포구,1.04,417.3,400986,1.10,449.4,407367
동작구,0.77,315.4,408912,0.81,324.5,401572
관악구,0.84,434.7,517334,0.79,401.6,509803
서초구,1.15,498.3,435107,1.18,504.8,429025
강남구,1.07,591.2,550209,1.28,694.9,544055
송파구,1.18,808.2,682741,1.08,727.5,673926
강동구,0.95,419.9,440390,0.79,368.0,4639
