자치구별,폐기물별,발생량(2019),재활용량(2019),발생량(2020),재활용량(2020),재활용율(%) (2019),재활용율(%) (2020)
소계,생활폐기물,7041.1,3729.3,9673.4,3868.7,52.964735623695155,0.39993177166249716
소계,사업장배출 시설계폐기물,2303.0,932.6,2309.3,1077.1,40.495006513243595,0.4664183951846879
종로구,생활폐기물,244.8,124.5,264.2,77.4,50.857843137254896,0.29295987887963665
종로구,사업장배출 시설계폐기물,0.6,0.2,1.5,1.0,33.333333333333336,0.6666666666666666
중구,생활폐기물,325.9,136.5,357.5,117.9,41.88401350107395,0.3297902097902098
중구,사업장배출 시설계폐기물,0.4,0.1,10.6,8.9,25.0,0.839622641509434
용산구,생활폐기물,234.4,127.8,301.2,133.6,54.522184300341294,0.4435590969455511
용산구,사업장배출 시설계폐기물,11.0,7.4,13.7,12.9,67.27272727272727,0.9416058394160585
성동구,생활폐기물,228.5,136.8,301.2,123.7,59.868708971553616,0.4106905710491368
성동구,사업장배출 시설계폐기물,382.7,34.1,220.1,84.8,8.910373660830938,0.3852794184461608
광진구,생활폐기물,239.4,158.7,343.1,152.0,66.2907268170426,0.4430195278344506
광진구,사업장배출 시설계폐기물,26.5,26.4,35.0,34.5,99.62264150943396,0.9857142857142858
동대문구,생활폐기물,318.4,205.6,440.1,240.1,64.57286432160805,0.5455578277664167
동대문구,사업장배출 시설계폐기물,26.1,16.1,25.5,25.4,61.68582375478927,0.9960784313725489
중랑구,생활폐기물,293.4,186.0,337.6,139.9,63.39468302658487,0.4143957345971564
중랑구,사업장배출 시설계폐기물,7.5,1.5,11.0,5.4,20.0,0.49090909090909096
성북구,생활폐기물,276.2,180.5,361.6,158.5,65.35119478638669,0.4383296460176991
성북구,사업장배출 시설계폐기물,3.4,2.7,6.6,6.6,79.41176470588236,1.0
강북구,생활폐기물,177.6,101.7,243.1,77.2,57.26351351351352,0.31756478815302347
강북구,사업장배출 시설계폐기물,-,-,1.9,0.1,,0.052631578947368425
도봉구,생활폐기물,264.2,140.0,300.9,126.2,52.990158970476905,0.41940844134263877
도봉구,사업장배출 시설계폐기물,0.9,0.8,80.2,63.4,88.8888888888889,0.7905236907730673
노원구,생활폐기물,192.3,82.4,394.8,162.7,42.84971398855954,0.4121073961499493
노원구,사업장배출 시설계폐기물,99.3,2.4,72.3,1.0,2.416918429003021,0.013831258644536654
은평구,생활폐기물,294.9,150.8,380.4,143.4,51.135978297728045,0.3769716088328076
은평구,사업장배출 시설계폐기물,5.5,4.1,3.9,3.9,74.54545454545453,1.0
서대문구,생활폐기물,170.1,76.5,285.3,112.4,44.973544973544975,0.39397125832457064
서대문구,사업장배출 시설계폐기물,10.5,10.4,9.4,1.0,99.04761904761905,0.10638297872340426
마포구,생활폐기물,354.1,162.5,366.4,133.8,45.8909912454109,0.36517467248908303
마포구,사업장배출 시설계폐기물,63.5,62.1,68.4,62.3,97.79527559055119,0.9108187134502923
양천구,생활폐기물,223.3,104.0,394.4,196.8,46.57411553963278,0.4989858012170386
양천구,사업장배출 시설계폐기물,40.6,0.6,43.4,1.4,1.477832512315271,0.03225806451612903
강서구,생활폐기물,439.2,286.0,526.8,221.7,65.1183970856102,0.42084282460136674
강서구,사업장배출 시설계폐기물,515.0,55.4,820.1,103.5,10.757281553398059,0.12620412144860382
구로구,생활폐기물,229.6,74.1,329.6,90.5,32.27351916376306,0.2745752427184466
구로구,사업장배출 시설계폐기물,3.6,3.2,2.0,1.7,88.8888888888889,0.85
금천구,생활폐기물,224.2,135.5,274.5,133.7,60.437109723461205,0.4870673952641165
금천구,사업장배출 시설계폐기물,2.1,0.8,8.8,7.3,38.095238095238095,0.8295454545454545
영등포구,생활폐기물,261.9,111.0,449.4,160.8,42.38258877434136,0.35781041388518026
영등포구,사업장배출 시설계폐기물,38.7,38.6,56.5,56.0,99.74160206718345,0.9911504424778761
동작구,생활폐기물,222.4,131.9,324.5,151.7,59.30755395683454,0.46748844375963017
동작구,사업장배출 시설계폐기물,-,-,2.6,2.5,,0.9615384615384615
관악구,생활폐기물,343.4,221.9,401.6,188.7,64.61852067559698,0.4698705179282868
관악구,사업장배출 시설계폐기물,0.4,0.4,1.0,0.8,100.0,0.8
서초구,생활폐기물,319.1,114.0,504.8,142.6,35.72547790661235,0.28248811410459584
서초구,사업장배출 시설계폐기물,-,-,7.3,4.8,,0.6575342465753424
강남구,생활폐기물,468.0,225.0,694.9,213.1,48.07692307692308,0.30666282918405524
강남구,사업장배출 시설계폐기물,586.2,234.3,408.5,240.6,39.969293756397136,0.588984088127295
송파구,생활폐기물,393.5,190.1,727.5,332.5,48.31003811944091,0.4570446735395189
송파구,사업장배출 시설계폐기물,89.5,75.6,84.9,53.8,84.46927374301674,0.6336866902237926
강동구,생활폐기물,302.3,165.5,368.0,137.9,54.74694012570295,0.37472826086956523
강동구,사업장배출 시설계폐기물,389.0,355.4,313.9,293.5,91.36246786632391,0.935011150047786
