기준연월,지역명,방문자 수
201907,강원도 춘천시 ,2710265
201908,강원도 춘천시 ,3327273
201909,강원도 춘천시 ,2855453
201910,강원도 춘천시 ,2638383
201911,강원도 춘천시 ,2692891
201912,강원도 춘천시 ,2333252
202001,강원도 춘천시 ,2599966
202002,강원도 춘천시 ,1712384
202003,강원도 춘천시 ,1937320
202004,강원도 춘천시 ,2051496
202005,강원도 춘천시 ,2483983
202006,강원도 춘천시 ,2373767
202007,강원도 춘천시 ,2739323
202008,강원도 춘천시 ,2381814
202009,강원도 춘천시 ,2123595
202010,강원도 춘천시 ,2624008
202011,강원도 춘천시 ,2044619
202012,강원도 춘천시 ,1723961
202101,강원도 춘천시 ,1643642
202102,강원도 춘천시 ,1893824
202103,강원도 춘천시 ,2247031
202104,강원도 춘천시 ,2095906
202105,강원도 춘천시 ,2309465
202106,강원도 춘천시 ,2094110
202107,강원도 춘천시 ,2301081
202108,강원도 춘천시 ,2558062
202109,강원도 춘천시 ,2550296
202110,강원도 춘천시 ,2674381
202111,강원도 춘천시 ,2285382
202112,강원도 춘천시 ,2209322
202201,강원도 춘천시 ,2314376
202202,강원도 춘천시 ,2035530
202203,강원도 춘천시 ,2805746
202204,강원도 춘천시 ,2632597
202205,강원도 춘천시 ,2911134
202206,강원도 춘천시 ,2622104
202207,강원도 춘천시 ,2895066
