모바일서비스번호,관리번호,정류장명,위도,경도,데이터기준일
1001,250001192,대형약국,37.876100,127.775130,2021-09-15
1002,250001193,산림조합강원본부,37.887240,127.753650,2021-09-15
1003,250001194,산림조합강원본부,37.886990,127.753220,2021-09-15
1004,250001195,발산3리,37.959110,127.745990,2021-09-15
1005,250001196,금광터,37.953310,127.746300,2021-09-15
1006,250001197,운전면허시험장,37.947530,127.750730,2021-09-15
1007,250001198,소양강댐주차장,37.938330,127.801950,2021-09-15
1008,250001199,폴리텍2캠퍼스,37.912020,127.739460,2021-09-15
1009,250001200,월곡리,37.917460,127.798200,2021-09-15
1010,250001201,감정리,37.903760,127.786780,2021-09-15
1011,250001202,중앙시장환승센터,37.877070,127.723080,2021-09-15
1012,250001203,후평3동우체국,37.872440,127.752680,2021-09-15
1013,250001204,부안주유소,37.872430,127.752470,2021-09-15
1014,250001205,후평중학교,37.877330,127.748380,2021-09-15
1015,250001206,후평주공7단지,37.875540,127.751050,2021-09-15
1016,250001207,후평주공7단지,37.875720,127.751160,2021-09-15
1017,250001208,후평주공6단지,37.874330,127.748870,2021-09-15
1018,250001209,후평주공6단지,37.874220,127.748370,2021-09-15
1019,250001210,후평주공5단지,37.873460,127.746910,2021-09-15
1020,250001211,후평동종점,37.893240,127.748670,2021-09-15
1021,250001212,후평동종점,37.893770,127.748850,2021-09-15
1022,250001213,후평주공4단지후문,37.874920,127.757630,2021-09-15
1023,250001214,후평주공4단지후문,37.874950,127.757780,2021-09-15
1024,250001215,후평주공4단지,37.876240,127.756960,2021-09-15
1025,250001216,대우A,37.876240,127.757090,2021-09-15
1026,250001217,후평3동행복센터,37.876240,127.753710,2021-09-15
1027,250001218,후평3동행복센터,37.876460,127.754800,2021-09-15
1028,250001219,후동리,37.746200,127.622100,2021-09-15
1029,250001220,후동리,37.748050,127.620180,2021-09-15
1030,250001221,후동리,37.757490,127.624020,2021-09-15
1031,250001222,소주고개,37.760300,127.626810,2021-09-15
1032,250001223,후동리,37.747930,127.620090,2021-09-15
1033,250001224,후동리,37.746160,127.621960,2021-09-15
1034,250001225,후동2리입구,37.742750,127.634330,2021-09-15
1035,250001226,후동2리입구,37.742680,127.634350,2021-09-15
1036,250001227,후동2리,37.746840,127.630750,2021-09-15
1037,250001228,후동,37.750970,127.619690,2021-09-15
1038,250001229,중부지구대,37.875410,127.738320,2021-09-15
1039,250001230,중부지구대,37.875790,127.737870,2021-09-15
1040,250001231,발산1리,37.730180,127.596310,2021-09-15
1041,250001232,황골,37.730010,127.596130,2021-09-15
1042,250001233,화목원,37.922140,127.724940,2021-09-15
1043,250001234,화목원,37.922210,127.723280,2021-09-15
1044,250001235,화광사,37.745120,127.640280,2021-09-15
1045,250001236,화광사,37.745040,127.640520,2021-09-15
1046,250001237,호반체육관,37.865410,127.755260,2021-09-15
1047,250001238,우석중학교,37.865570,127.755220,2021-09-15
1048,250001239,호반A,37.890050,127.719450,2021-09-15
1048,250027089,호반A,37.890050,127.719440,2021-09-15
