기준연월,지역명(시),sns검색량(시),지역명(도),sns검색량(도)
201801,강원도 춘천시 ,4448,강원도,54616
201802,강원도 춘천시 ,2485,강원도,82184
201803,강원도 춘천시 ,2204,강원도,29894
201804,강원도 춘천시 ,6517,강원도,34105
201805,강원도 춘천시 ,5607,강원도,50476
201806,강원도 춘천시 ,4178,강원도,51493
201807,강원도 춘천시 ,5620,강원도,66399
201808,강원도 춘천시 ,6079,강원도,79920
201809,강원도 춘천시 ,3778,강원도,45138
201810,강원도 춘천시 ,4417,강원도,44031
201811,강원도 춘천시 ,4622,강원도,37708
201812,강원도 춘천시 ,2640,강원도,74669
201901,강원도 춘천시 ,3055,강원도,44938
201902,강원도 춘천시 ,3142,강원도,43854
201903,강원도 춘천시 ,3888,강원도,42783
201904,강원도 춘천시 ,4093,강원도,82042
201905,강원도 춘천시 ,4369,강원도,66075
201906,강원도 춘천시 ,4195,강원도,47147
201907,강원도 춘천시 ,3962,강원도,63850
201908,강원도 춘천시 ,5387,강원도,89394
201909,강원도 춘천시 ,4562,강원도,56392
201910,강원도 춘천시 ,5372,강원도,49460
201911,강원도 춘천시 ,3046,강원도,42109
201912,강원도 춘천시 ,3106,강원도,44749
202001,강원도 춘천시 ,4693,강원도,51108
202002,강원도 춘천시 ,5352,강원도,46029
202003,강원도 춘천시 ,4669,강원도,45462
202004,강원도 춘천시 ,5528,강원도,45787
202005,강원도 춘천시 ,5130,강원도,55282
202006,강원도 춘천시 ,5622,강원도,58567
202007,강원도 춘천시 ,6599,강원도,89935
202008,강원도 춘천시 ,7328,강원도,106964
202009,강원도 춘천시 ,4919,강원도,58709
202010,강원도 춘천시 ,5417,강원도,61088
202011,강원도 춘천시 ,5149,강원도,63430
202012,강원도 춘천시 ,7422,강원도,120799
202101,강원도 춘천시 ,4211,강원도,65422
202102,강원도 춘천시 ,4750,강원도,63058
202103,강원도 춘천시 ,4964,강원도,70106
202104,강원도 춘천시 ,4490,강원도,56016
202105,강원도 춘천시 ,6175,강원도,74687
202106,강원도 춘천시 ,6488,강원도,80160
202107,강원도 춘천시 ,6997,강원도,93945
202108,강원도 춘천시 ,9373,강원도,105240
202109,강원도 춘천시 ,8266,강원도,80125
202110,강원도 춘천시 ,8090,강원도,83082
202111,강원도 춘천시 ,7536,강원도,90150
202112,강원도 춘천시 ,5777,강원도,69485
202201,강원도 춘천시 ,6513,강원도,86716
202202,강원도 춘천시 ,9153,강원도,203598
202203,강원도 춘천시 ,9066,강원도,87539
202204,강원도 춘천시 ,8643,강원도,78574
202205,강원도 춘천시 ,10269,강원도,98286
202206,강원도 춘천시 ,17711,강원도,142415
202207,강원도 춘천시 ,46335,강원도,220690
