노선번호,노선명,노선별정류장순번,정류장번호,정류장명,위도,경도,데이터기준일
250000100,1,1,250026779,장학해온채A,37.897080,127.754070,2021-09-09
250000100,1,2,250026778,장학교차로,37.893860,127.755620,2021-09-09
250000100,1,3,250026830,장학부영A,37.896400,127.752700,2021-09-09
250000100,1,4,250001211,후평동종점,37.893240,127.748670,2021-09-09
250000100,1,5,250001377,춘천기계공고,37.891110,127.749000,2021-09-09
250000100,1,6,250001873,정부합동청사,37.888880,127.749280,2021-09-09
250000100,1,7,250001505,동광오거리,37.885260,127.749470,2021-09-09
250000100,1,8,250001277,후평환승센터,37.883500,127.748630,2021-09-09
250000100,1,9,250001295,포스코더샵A,37.881620,127.748500,2021-09-09
250000100,1,10,250001786,충인교회,37.879540,127.750010,2021-09-09
250000100,1,11,250001853,일성트루엘A,37.877490,127.748490,2021-09-09
250000100,1,12,250002238,푸른언덕공원,37.876190,127.745520,2021-09-09
250000100,1,13,250001750,강원대학병원,37.874710,127.742920,2021-09-09
250000100,1,14,250001678,춘천청소년수련관,37.874370,127.740980,2021-09-09
250000100,1,15,250001230,중부지구대,37.875790,127.737870,2021-09-09
250000100,1,16,250001545,동부시장,37.876590,127.734280,2021-09-09
250000100,1,17,250001914,육림고개,37.877170,127.730710,2021-09-09
250000100,1,18,250002077,명동입구,37.879610,127.728650,2021-09-09
250000100,1,19,250002029,명동입구,37.879710,127.726680,2021-09-09
250000100,1,20,250001848,중앙시장/중앙초교,37.878350,127.724990,2021-09-09
250000100,1,21,250001202,중앙시장환승센터,37.877070,127.723080,2021-09-09
250000100,1,22,250001349,춘천시보건소,37.876210,127.720840,2021-09-09
250000100,1,23,250001353,춘천중학교,37.875270,127.717690,2021-09-09
250000100,1,24,250001350,엘타워/미소지움,37.874040,127.717030,2021-09-09
250000100,1,25,250001986,미소지움/방송대,37.873290,127.720140,2021-09-09
250000100,1,26,250002027,모아엘가A,37.872120,127.723060,2021-09-09
250000100,1,27,250001626,남부시장,37.870630,127.726000,2021-09-09
250000100,1,28,250026603,수협,37.869730,127.727910,2021-09-09
250000100,1,29,250002023,양우A,37.868310,127.730520,2021-09-09
250000100,1,30,250002239,춘천지방법원,37.866090,127.734140,2021-09-09
250000100,1,31,250001751,춘천사회혁신센터,37.864160,127.736270,2021-09-09
250000100,1,32,250002136,석사A,37.862810,127.739040,2021-09-09
250000100,1,33,250002148,석사4거리,37.861150,127.743260,2021-09-09
250000100,1,34,250002147,석사교회,37.859610,127.744830,2021-09-09
250000100,1,35,250001386,교육대학교,37.857180,127.747100,2021-09-09
250000100,1,36,250002016,여성가족연구원,37.855770,127.748720,2021-09-09
250000100,1,37,250002138,석사삼익A,37.853080,127.751040,2021-09-09
250000100,1,38,250002145,석사극동A,37.851000,127.752700,2021-09-09
250000100,1,39,250001273,장애인종합복지관,37.846980,127.755520,2021-09-09
250000100,1,40,250001354,학곡2리,37.840100,127.758650,2021-09-09
250000100,1,41,250001282,학곡리종점,37.834860,127.760300,2021-09-09
250000100,1,42,250001167,원창고개입구,37.832340,127.763070,2021-09-09
250000100,1,43,250027094,춘천자원,37.827930,127.764010,2021-09-09
250000100,1,44,250026776,학곡리,37.822820,127.763120,2021-09-09
250000100,1,45,250027084,학곡리,37.822710,127.763480,2021-09-09
250000100,1,46,250026772,사암4리,37.823730,127.764050,2021-09-09
250000100,1,47,250027095,춘천자원,37.828250,127.764060,2021-09-09
250000100,1,48,250001166,학곡리,37.832380,127.763190,2021-09-09
250000100,1,49,250001283,학곡리종점,37.835010,127.760410,2021-09-09
250000100,1,50,250001355,학곡2리,37.840210,127.758820,2021-09-09
250000100,1,51,250001274,장애인종합복지관,37.847420,127.755300,2021-09-09
250000100,1,52,250002146,석사극동A,37.851180,127.752780,2021-09-09
250000100,1,53,250002139,초록지붕A,37.853240,127.751170,2021-09-09
250000100,1,54,250001527,로데오거리,37.854240,127.750540,2021-09-09
250000100,1,55,250002015,여성가족연구원,37.856130,127.748530,2021-09-09
250000100,1,56,250001385,교육대학교,37.858230,127.746400,2021-09-09
250000100,1,57,250002140,석사사거리,37.859520,127.745110,2021-09-09
250000100,1,58,250001546,동보A,37.861790,127.742150,2021-09-09
250000100,1,59,250002137,석사A,37.862890,127.739330,2021-09-09
250000100,1,60,250001752,병무청앞,37.865540,127.735070,2021-09-09
250000100,1,61,250002024,양우A,37.867960,127.731540,2021-09-09
250000100,1,62,250001276,한국토지주택공사,37.869250,127.729220,2021-09-09
250000100,1,63,250001627,남부시장,37.870110,127.727480,2021-09-09
250000100,1,64,250002028,모아엘가A,37.872050,127.723620,2021-09-09
250000100,1,65,250001987,방송통신대입구,37.873260,127.721160,2021-09-09
250000100,1,66,250001351,춘천중학교정문,37.873980,127.718100,2021-09-09
250000100,1,67,250001352,춘천중학교,37.874870,127.717180,2021-09-09
250000100,1,68,250001348,춘천초등학교,37.876080,127.720960,2021-09-09
250000100,1,69,250001847,중앙시장환승센터,37.877490,127.724200,2021-09-09
250000100,1,70,250001498,명동입구,37.879120,127.726270,2021-09-09
250000100,1,71,250002076,명동입구,37.878740,127.729120,2021-09-09
250000100,1,72,250001913,육림고개,37.877210,127.730440,2021-09-09
250000100,1,73,250001544,동부시장,37.876320,127.733450,2021-09-09
250000100,1,74,250001229,중부지구대,37.875410,127.738320,2021-09-09
250000100,1,75,250001677,춘천청소년수련관,37.874040,127.741350,2021-09-09
250000100,1,76,250001749,강원대학병원,37.874760,127.743130,2021-09-09
250000100,1,77,250002237,푸른언덕공원,37.876360,127.746250,2021-09-09
250000100,1,78,250001205,후평중학교,37.877330,127.748380,2021-09-09
250000100,1,79,250001785,신한은행후평동지점,37.879270,127.750440,2021-09-09
250000100,1,80,250001292,포스코더샵A,37.880610,127.749480,2021-09-09
250000100,1,81,250001278,후평환승센터,37.883540,127.748920,2021-09-09
250000100,1,82,250001506,동광오거리,37.884700,127.749470,2021-09-09
250000100,1,83,250001874,정부합동청사,37.888440,127.749660,2021-09-09
250000100,1,84,250001378,기계공고,37.891460,127.749190,2021-09-09
250000100,1,85,250001212,후평동종점,37.893770,127.748850,2021-09-09
250000100,1,86,250026831,장학LH1단지,37.896360,127.752550,2021-09-09
250000100,1,87,250026917,강원고앞,37.895190,127.755230,2021-09-09
250000200,2,1,250026779,장학해온채A,37.897080,127.754070,2021-09-09
250000200,2,2,250026778,장학교차로,37.893860,127.755620,2021-09-09
250000200,2,3,250001754,강동농협장학지점,37.891770,127.753170,2021-09-09
250000200,2,4,250026617,공단입구,37.891010,127.749900,2021-09-09
250000200,2,5,250001563,도민일보,37.890510,127.744850,2021-09-09
250000200,2,6,250001540,동산A,37.889210,127.742110,2021-09-09
250000200,2,7,250002229,봉의A,37.886750,127.744890,2021-09-09
250000200,2,8,250002124,세경3차,37.884840,127.744150,2021-09-09
250000200,2,9,250001547,동보빌리지,37.883720,127.741080,2021-09-09
250000200,2,10,250002127,한림대학교,37.883500,127.738310,2021-09-09
250000200,2,11,250001262,향교,37.881500,127.734660,2021-09-09
250000200,2,12,250001358,춘천시청별관,37.881640,127.732580,2021-09-09
250000200,2,13,250026768,e편한세상,37.884270,127.726120,2021-09-09
250000200,2,14,250001372,춘천농협,37.884460,127.723370,2021-09-09
250000200,2,15,250001886,소양로우체국,37.881080,127.726180,2021-09-09
250000200,2,16,250002029,명동입구,37.879710,127.726680,2021-09-09
250000200,2,17,250001848,중앙시장/중앙초교,37.878350,127.724990,2021-09-09
250000200,2,18,250001202,중앙시장환승센터,37.877070,127.723080,2021-09-09
250000200,2,19,250001349,춘천시보건소,37.876210,127.720840,2021-09-09
250000200,2,20,250001353,춘천중학교,37.875270,127.717690,2021-09-09
250000200,2,21,250001350,엘타워/미소지움,37.874040,127.717030,2021-09-09
250000200,2,22,250001986,미소지움/방송대,37.873290,127.720140,2021-09-09
250000200,2,23,250027092,온누리공원앞,37.868360,127.719780,2021-09-09
250000200,2,24,250002081,시외버스터미널,37.864110,127.719760,2021-09-09
250000200,2,25,250001903,은행나무공원,37.861950,127.719690,2021-09-09
250000200,2,26,250001621,남춘천중학교,37.860590,127.721390,2021-09-09
250000200,2,27,250001307,한진한성,37.859450,127.723130,2021-09-09
250000200,2,28,250001306,퇴계현대1차,37.857920,127.726430,2021-09-09
250000200,2,29,250001326,퇴계동입구,37.859300,127.727630,2021-09-09
250000200,2,30,250001921,유승한내들,37.861890,127.731050,2021-09-09
250000200,2,31,250026583,휴먼시아2차,37.860710,127.733000,2021-09-09
250000200,2,32,250001322,퇴계주공2차,37.858410,127.737100,2021-09-09
250000200,2,33,250002132,봄내초등학교,37.856420,127.741740,2021-09-09
250000200,2,34,250001321,퇴계주공3.4차,37.855670,127.744370,2021-09-09
250000200,2,35,250001172,로데오거리,37.855050,127.748310,2021-09-09
250000200,2,36,250002138,석사삼익A,37.853080,127.751040,2021-09-09
250000200,2,37,250002145,석사극동A,37.851000,127.752700,2021-09-09
250000200,2,38,250026846,태백교,37.848700,127.753500,2021-09-09
250000200,2,39,250026660,스무숲입구,37.850550,127.748700,2021-09-09
250000200,2,40,250002018,현진에버빌1차,37.850340,127.747350,2021-09-09
250000200,2,41,250026661,춘천고용복지센터,37.851510,127.744650,2021-09-09
250000200,2,42,250002086,시립요양원입구,37.850600,127.750000,2021-09-09
250000200,2,43,250002146,석사극동A,37.851180,127.752780,2021-09-09
250000200,2,44,250002139,초록지붕A,37.853240,127.751170,2021-09-09
