업태,업소명,소재지도로명주소,소재지전화,데이터기준일자
여관업,거래처모텔,강원도 춘천시 서부대성로44번길 6 (요선동), 033-252-2666,2021-09-09
관광호텔,춘천세종호텔,강원도 춘천시 봉의산길 31 (봉의동), 033-252-1191,2021-09-09
여관업,춘양장모텔,강원도 춘천시 당간지주길 94 (소양로1가), 033-254-3563,2021-09-09
여인숙업,대성여인숙,강원도 춘천시 가연길5번길 24 (소양로4가), 033-256-6553,2021-09-09
여관업,동성여관,강원도 춘천시 중앙로166번길 4 (근화동), 033-254-2944,2021-09-09
여인숙업,삼화여인숙,강원도 춘천시 중앙로124번길 12 (소양로4가), 033-254-4724,2021-09-09
여인숙업,그린여인숙,강원도 춘천시 가연길5번길 12 (소양로4가),033-242-7655,2021-09-09
여관업,짝모텔,강원도 춘천시 춘천로186번길 4 (효자동), 033-244-8665,2021-09-09
여관업,별장모텔,강원도 춘천시 중앙로 186-8 (근화동), 033-254-2754,2021-09-09
여인숙업,"호텔정관루별관(투투별장,아뜰리에,문학인촌)",강원도 춘천시 남산면 남이섬길 1, 031-582-2197,2021-09-09
여인숙업,강화여인숙,강원도 춘천시 가연길5번길 28-1 (소양로4가),033-251-7923,2021-09-09
여인숙업,강릉여인숙,강원도 춘천시 가연길5번길 2-2 (소양로4가), 033-254-4539,2021-09-09
여관업,k모텔,강원도 춘천시 시청길12번길 18 (조양동),033-253-6034,2021-09-09
여관업,조인모텔,강원도 춘천시 중앙로166번길 5 (근화동),033-242-0783,2021-09-09
여관업,공주여관,강원도 춘천시 공지로 473-1 (근화동), 033-254-2414,2021-09-09
여관업,삼진장여관,강원도 춘천시 공지로 472-1 (근화동), 033-254-8485,2021-09-09
여인숙업,명화여인숙,강원도 춘천시 중앙로124번길 3 (소양로4가), 033-254-5394,2021-09-09
여관업,리츠호텔,강원도 춘천시 공지로451번길 1 (근화동), 033-241-0798,2021-09-09
여관업,해피장여관,강원도 춘천시 공지로 471-1 (근화동), 033-254-6850,2021-09-09
여관업,작은별장,강원도 춘천시 공지로 472 (근화동), 033-257-7177,2021-09-09
여관업,한성장여관,강원도 춘천시 동부시장길 5-2 (운교동), 033-255-3800,2021-09-09
여관업,해원장여관,강원도 춘천시 공지로461번길 13-2 (근화동),033-243-8686,2021-09-09
여관업,송림장여관,강원도 춘천시 중앙로 162 (근화동), 033-254-6138,2021-09-09
일반호텔,춘천센트럴호텔,강원도 춘천시 중앙로68번길 12 (낙원동),033-257-1900,2021-09-09
일반호텔,호텔정관루본관,강원도 춘천시 남산면 남이섬길 1, 031-580-8000,2021-09-09
여관업,대지여관,강원도 춘천시 공지로 473-2 (근화동), 033-254-5487,2021-09-09
여인숙업,소나무집여인숙,강원도 춘천시 북산면 추곡약수길 89-2,,2021-09-09
여인숙업,홍호여인숙,강원도 춘천시 가연길5번길 22 (소양로4가),,2021-09-09
관광호텔,에스파스 호스텔,강원도 춘천시 닥나무길 12 (효자동), 033-256-2230,2021-09-09
여관업,황토모텔,강원도 춘천시 서부대성로44번길 3 (요선동),033-241-8599,2021-09-09
여관업,이오스모텔,강원도 춘천시 춘천로186번길 9 (효자동), 033-241-5590,2021-09-09
