기준연월,지역명(춘천시),sns검색량(춘천시),방문자수(춘천시),지역명(강원도),sns검색량(강원도),방문자수(강원도)
201801,강원도 춘천시 ,4448,1761324,강원도,54616,1.03E+07
201802,강원도 춘천시 ,2485,1981519,강원도,82184,1.08E+07
201803,강원도 춘천시 ,2204,2146043,강원도,29894,1.01E+07
201804,강원도 춘천시 ,6517,2343161,강원도,34105,9027871
201805,강원도 춘천시 ,5607,2534229,강원도,50476,1.13E+07
201806,강원도 춘천시 ,4178,2078257,강원도,51493,1.07E+07
201807,강원도 춘천시 ,5620,1831875,강원도,66399,1.36E+07
201808,강원도 춘천시 ,6079,2380034,강원도,79920,1.68E+07
201809,강원도 춘천시 ,3778,2739357,강원도,45138,1.26E+07
201810,강원도 춘천시 ,4417,2455266,강원도,44031,1.11E+07
201811,강원도 춘천시 ,4622,2097101,강원도,37708,8781333
201812,강원도 춘천시 ,2640,2335946,강원도,74669,1.01E+07
201901,강원도 춘천시 ,3055,2112538,강원도,44938,1.09E+07
201902,강원도 춘천시 ,3142,2772843,강원도,43854,1.09E+07
201903,강원도 춘천시 ,3888,2125210,강원도,42783,1.13E+07
201904,강원도 춘천시 ,4093,2300105,강원도,82042,9032014
201905,강원도 춘천시 ,4369,2466090,강원도,66075,1.04E+07
201906,강원도 춘천시 ,4195,2710265,강원도,47147,1.15E+07
201907,강원도 춘천시 ,3962,2855453,강원도,63850,1.41E+07
201908,강원도 춘천시 ,5387,2638383,강원도,89394,2.01E+07
201909,강원도 춘천시 ,4562,2333252,강원도,56392,1.25E+07
201910,강원도 춘천시 ,5372,2179394,강원도,49460,1.21E+07
201911,강원도 춘천시 ,3046,3327273,강원도,42109,1.14E+07
201912,강원도 춘천시 ,3106,2692891,강원도,44749,1.14E+07
202001,강원도 춘천시 ,4693,1937320,강원도,51108,1.39E+07
202002,강원도 춘천시 ,5352,2051496,강원도,46029,8241397
202003,강원도 춘천시 ,4669,2739323,강원도,45462,8462125
202004,강원도 춘천시 ,5528,2373767,강원도,45787,8740165
202005,강원도 춘천시 ,5130,2624008,강원도,55282,1.15E+07
202006,강원도 춘천시 ,5622,2044619,강원도,58567,1.15E+07
202007,강원도 춘천시 ,6599,1723961,강원도,89935,1.44E+07
202008,강원도 춘천시 ,7328,1712384,강원도,106964,1.53E+07
202009,강원도 춘천시 ,4919,2483983,강원도,58709,9359993
202010,강원도 춘천시 ,5417,2381814,강원도,61088,1.27E+07
202011,강원도 춘천시 ,5149,2599966,강원도,63430,9055283
202012,강원도 춘천시 ,7422,2123595,강원도,120799,8210008
202101,강원도 춘천시 ,4211,2309465,강원도,65422,7256474
202102,강원도 춘천시 ,4750,2558062,강원도,63058,8962775
202103,강원도 춘천시 ,4964,2674381,강원도,70106,8876662
202104,강원도 춘천시 ,4490,1893824,강원도,56016,9616382
202105,강원도 춘천시 ,6175,2247031,강원도,74687,1.13E+07
202106,강원도 춘천시 ,6488,2094110,강원도,80160,1.06E+07
202107,강원도 춘천시 ,6997,2301081,강원도,93945,1.34E+07
202108,강원도 춘천시 ,9373,2550296,강원도,105240,1.45E+07
202109,강원도 춘천시 ,8266,2285382,강원도,80125,1.20E+07
202110,강원도 춘천시 ,8090,1643642,강원도,83082,1.27E+07
202111,강원도 춘천시 ,7536,2095906,강원도,90150,1.00E+07
202112,강원도 춘천시 ,5777,2209322,강원도,69485,1.10E+07
202201,강원도 춘천시 ,6513,2314376,강원도,86716,1.19E+07
202202,강원도 춘천시 ,9153,2035530,강원도,203598,9689337
202203,강원도 춘천시 ,9066,2805746,강원도,87539,1.03E+07
202204,강원도 춘천시 ,8643,2632597,강원도,78574,1.17E+07
202205,강원도 춘천시 ,10269,2911134,강원도,98286,1.32E+07
202206,강원도 춘천시 ,17711,2622104,강원도,142415,1.26E+07
202207,강원도 춘천시 ,46335,2895066,강원도,220690,1.61E+07
