유형 중분류명,유형 소분류명,중분류 검색건 수,중분류 검색건 수(비율),소분류 검색건 수,소분류 검색건 수(비율)
기타관광,교통시설,160856,4.3,8738,5.4
기타관광,기타관광,160856,4.3,147071,91.4
기타관광,데이트코스,160856,4.3,5047,3.1
레저스포츠,기타레저스포츠,624683,16.8,50323,8.1
레저스포츠,수상레저스포츠,624683,16.8,54404,8.7
레저스포츠,육상레저스포츠,624683,16.8,519956,83.2
문화관광,기타문화관광지,404566,10.8,9264,2.3
문화관광,도시공원,404566,10.8,19201,4.7
문화관광,랜드마크관광,404566,10.8,87552,21.6
문화관광,복합관광시설,404566,10.8,23096,5.7
문화관광,테마공원,404566,10.8,147111,36.4
문화관광,공연시설,404566,10.8,52125,12.9
문화관광,레저스포츠시설,404566,10.8,5619,1.4
문화관광,교육시설,404566,10.8,290,0.1
문화관광,전시시설,404566,10.8,60308,14.9
쇼핑,쇼핑몰,55103,1.5,2714,4.9
쇼핑,시장,55103,1.5,42587,77.3
쇼핑,기타쇼핑시설,55103,1.5,9802,17.8
숙박,기타숙박,417496,11.2,2150,0.5
숙박,모텔,417496,11.2,106773,25.6
숙박,콘도미니엄,417496,11.2,48268,11.6
숙박,펜션/민박,417496,11.2,91865,22.0
숙박,호스텔,417496,11.2,4100,1.0
숙박,호텔,417496,11.2,114844,27.5
숙박,캠핑,417496,11.2,49496,11.9
역사관광,역사유물,44604,1.2,744,1.7
역사관광,역사유적지,44604,1.2,17329,38.9
역사관광,종교성지,44604,1.2,26531,59.5
음식,간이음식,1795327,48.1,120982,6.7
음식,기타음식,1795327,48.1,46613,2.6
음식,외국식,1795327,48.1,722735,40.3
음식,한식,1795327,48.1,472422,26.3
음식,카페/찻집,1795327,48.1,432508,24.1
음식,캠핑,1795327,48.1,67,0.0
자연관광,자연경관(하천/해양),217853,5.8,149466,68.6
자연관광,자연경관(산),217853,5.8,29621,13.6
자연관광,자연공원,217853,5.8,38458,17.7
자연관광,자연생태,217853,5.8,308,0.1
체험관광,농/산/어촌체험,8405,0.2,2233,26.6
체험관광,웰니스관광,8405,0.2,6112,72.7
체험관광,공예체험,8405,0.2,60,0.7
