유형 중분류명,유형 소분류명,소분류 검색건수
기타관광,교통시설,1531
기타관광,기타관광,79516
기타관광,데이트코스,817
레저스포츠,기타레저스포츠,15797
레저스포츠,수상레저스포츠,19836
레저스포츠,육상레저스포츠,216573
문화관광,공연시설,9140
문화관광,교육시설,168
문화관광,기타문화관광지,1684
문화관광,도시공원,2881
문화관광,랜드마크관광,11138
문화관광,레저스포츠시설,1185
문화관광,복합관광시설,3470
문화관광,전시시설,12818
문화관광,테마공원,46957
쇼핑,기타쇼핑시설,2470
쇼핑,쇼핑몰,535
쇼핑,시장,5173
숙박,기타숙박,685
숙박,모텔,18992
숙박,캠핑,16687
숙박,콘도미니엄,15673
숙박,펜션/민박,862
숙박,호스텔,37
숙박,호텔,19868
역사관광,역사유물,233
역사관광,역사유적지,3015
역사관광,종교성지,6595
음식,간이음식,13863
음식,기타음식,7082
음식,외국식,151600
음식,카페/찻집,52068
음식,한식,98665
자연관광,자연경관(산),7494
자연관광,자연경관(하천/해양),72746
자연관광,자연공원,6606
자연관광,자연생태,59
체험관광,농/산/어촌체험,1075
체험관광,웰니스관광,831
