유형 중분류명,유형 소분류명,소분류 검색건수
기타관광,교통시설,16767
기타관광,기타관광,19264
기타관광,데이트코스,314
레저스포츠,기타레저스포츠,4980
레저스포츠,수상레저스포츠,6195
레저스포츠,육상레저스포츠,26694
레저스포츠,항공레저스포츠,53
문화관광,공연시설,4197
문화관광,교육시설,345
문화관광,기타문화관광지,3151
문화관광,도시/지역문화관광,7
문화관광,도시공원,7842
문화관광,랜드마크관광,1868
문화관광,레저스포츠시설,1248
문화관광,복합관광시설,10855
문화관광,전시시설,7508
문화관광,테마공원,9672
쇼핑,기타쇼핑시설,3130
쇼핑,면세점,33
쇼핑,쇼핑몰,15237
쇼핑,시장,8734
쇼핑,전문매장/상가,39
숙박,기타숙박,995
숙박,모텔,8913
숙박,캠핑,15469
숙박,콘도미니엄,54574
숙박,펜션/민박,1217
숙박,호스텔,245
숙박,호텔,17800
역사관광,역사유물,223
역사관광,역사유적지,2584
역사관광,종교성지,7459
음식,간이음식,10112
음식,기타음식,2031
음식,외국식,40694
음식,카페/찻집,26656
음식,한식,83107
자연관광,자연경관(산),6086
자연관광,자연경관(하천/해양),15691
자연관광,자연공원,7156
자연관광,자연생태,222
체험관광,농/산/어촌체험,942
체험관광,웰니스관광,673
