기준연월,업종분류,소비액
202108,운송업,2.53689E7
202108,쇼핑업,2.356225906E9
202108,여가서비스업,4.71944634E9
202108,식음료업,7.117077986E9
202108,숙박업,7.18783786E8
202109,여행업,245000.0
202109,식음료업,6.41022209E9
202109,여가서비스업,5.105917949E9
202109,운송업,2.06018E7
202109,숙박업,6.21466832E8
202109,쇼핑업,3.011414003E9
202110,쇼핑업,3.275085323E9
202110,여가서비스업,5.377905169E9
202110,식음료업,7.717560421E9
202110,운송업,4.355975E7
202110,여행업,600000.0
202110,숙박업,7.58343025E8
202111,숙박업,6.36105844E8
202111,운송업,2.479165E7
202111,쇼핑업,2.920953466E9
202111,여가서비스업,4.236009223E9
202111,식음료업,6.742530617E9
202111,여행업,0.0
202112,숙박업,7.54924613E8
202112,식음료업,5.493465725E9
202112,여가서비스업,1.647819489E9
202112,쇼핑업,2.650703862E9
202112,운송업,7757250.0
202201,여행업,120000.0
202201,숙박업,1.189037476E9
202201,식음료업,5.479140663E9
202201,여가서비스업,1.005238116E9
202201,쇼핑업,2.910714418E9
202201,운송업,7880828.0
202202,숙박업,1.070689424E9
202202,운송업,8334300.0
202202,쇼핑업,2.437357262E9
202202,여가서비스업,1.593034465E9
202202,식음료업,4.863192148E9
202202,여행업,0.0
202203,여행업,0.0
202203,숙박업,5.25456596E8
202203,쇼핑업,2.609793644E9
202203,여가서비스업,3.982821417E9
202203,식음료업,5.426556748E9
202203,운송업,7174550.0
202204,여가서비스업,6.580269679E9
202204,숙박업,6.98380967E8
202204,운송업,2.15386E7
202204,여행업,0.0
202204,쇼핑업,3.132078957E9
202204,식음료업,7.632510923E9
202205,여행업,1400000.0
202205,식음료업,9.074394823E9
202205,여가서비스업,8.782123485E9
202205,쇼핑업,3.297780426E9
202205,운송업,2.7105228E7
202205,숙박업,8.11396547E8
202206,운송업,2.4001E7
202206,쇼핑업,2.797071985E9
202206,여가서비스업,7.256333187E9
202206,식음료업,8.006927867E9
202206,숙박업,8.17181329E8
202206,여행업,571000.0
202207,여행업,40000.0
202207,식음료업,7.982989917E9
202207,여가서비스업,6.393141564E9
202207,쇼핑업,2.777174175E9
202207,운송업,1.923315E7
202207,숙박업,8.99211341E8
