기준연월,지역명,체류시간
202108,춘천시,198.0
202108,전국,289.0
202108,강원도,245.0
202109,전국,292.0
202109,강원도,242.0
202109,춘천시,196.0
202110,전국,273.0
202110,강원도,230.0
202110,춘천시,189.0
202111,전국,294.0
202111,강원도,232.0
202111,춘천시,188.0
202112,강원도,246.0
202112,춘천시,209.0
202112,전국,303.0
202201,강원도,251.0
202201,춘천시,209.0
202201,전국,317.0
202202,춘천시,207.0
202202,강원도,251.0
202202,전국,313.0
202203,강원도,240.0
202203,전국,292.0
202203,춘천시,212.0
202204,강원도,230.0
202204,춘천시,184.0
202204,전국,254.0
202205,강원도,224.0
202205,전국,248.0
202205,춘천시,179.0
202206,강원도,222.0
202206,전국,250.0
202206,춘천시,181.0
202207,강원도,233.0
202207,전국,260.0
202207,춘천시,188.0
