역명,날짜,광역_수송실적인원,ITX-청춘_수송실적인원
남춘천,2018년 01월 01일,3341,3918
남춘천,2018년 01월 02일,3524,2214
남춘천,2018년 01월 03일,3190,2282
남춘천,2018년 01월 04일,3005,2312
남춘천,2018년 01월 05일,3809,2896
남춘천,2018년 01월 06일,3933,3789
남춘천,2018년 01월 07일,3620,3326
남춘천,2018년 01월 08일,3380,2464
남춘천,2018년 01월 09일,3011,2293
남춘천,2018년 01월 10일,3115,2365
남춘천,2018년 01월 11일,2745,2238
남춘천,2018년 01월 12일,3372,2725
남춘천,2018년 01월 13일,4118,3759
남춘천,2018년 01월 14일,3280,3499
남춘천,2018년 01월 15일,3286,2478
남춘천,2018년 01월 16일,3107,2203
남춘천,2018년 01월 17일,3890,2391
남춘천,2018년 01월 18일,3500,2474
남춘천,2018년 01월 19일,4121,2894
남춘천,2018년 01월 20일,4471,4086
남춘천,2018년 01월 21일,3416,3411
남춘천,2018년 01월 22일,3879,2701
남춘천,2018년 01월 23일,3096,2323
남춘천,2018년 01월 24일,2688,2246
남춘천,2018년 01월 25일,2727,2435
남춘천,2018년 01월 26일,3291,2763
남춘천,2018년 01월 27일,3484,3487
남춘천,2018년 01월 28일,3047,3142
남춘천,2018년 01월 29일,3025,2411
남춘천,2018년 01월 30일,2918,2239
남춘천,2018년 01월 31일,3003,2204
춘천,2018년 01월 01일,2822,3144
춘천,2018년 01월 02일,1925,1443
춘천,2018년 01월 03일,1752,1604
춘천,2018년 01월 04일,1854,1621
춘천,2018년 01월 05일,2194,1953
춘천,2018년 01월 06일,2658,2666
춘천,2018년 01월 07일,2278,2275
춘천,2018년 01월 08일,1909,1685
춘천,2018년 01월 09일,1777,1506
춘천,2018년 01월 10일,1661,1557
춘천,2018년 01월 11일,1591,1554
춘천,2018년 01월 12일,1858,1933
춘천,2018년 01월 13일,2696,2861
춘천,2018년 01월 14일,2450,2669
춘천,2018년 01월 15일,1832,1666
춘천,2018년 01월 16일,1884,1551
춘천,2018년 01월 17일,1816,1552
춘천,2018년 01월 18일,1869,1700
춘천,2018년 01월 19일,2381,2020
춘천,2018년 01월 20일,2781,2986
춘천,2018년 01월 21일,2804,2839
춘천,2018년 01월 22일,1997,1722
춘천,2018년 01월 23일,1657,1518
춘천,2018년 01월 24일,1357,1359
춘천,2018년 01월 25일,1309,1315
춘천,2018년 01월 26일,1653,1833
춘천,2018년 01월 27일,2031,2340
춘천,2018년 01월 28일,1912,2391
